YY,DD,MM,Seasons,Home team,Away team,Home ID,Away ID,End of regulation score,Home final score,Away final score,Winning team,Total score,Home odds 1,Away odds 1,Home odds 2,Away odds 2,Home odds 3,Away odds 3
2019,11,Feb,2018/2019,Golden State Warriors,Miami Heat,GSW,MIA,,120,118,H,238,1.08,10.4,1.08,10.16,1.07,9.5
2019,11,Feb,2018/2019,Atlanta Hawks,Orlando Magic,ATL,ORL,,108,124,A,232,2.06,1.62,2.04,1.87,2.2,1.71
2019,10,Feb,2018/2019,Sacramento Kings,Phoenix Suns,SAC,PHX,,117,104,H,221,1.19,3.9,1.24,4.65,1.26,4
2019,10,Feb,2018/2019,Philadelphia 76ers,Los Angeles Lakers,PHI,LAL,,143,120,H,263,1.33,3,1.34,3.56,1.34,3.35
2019,10,Feb,2018/2019,Dallas Mavericks,Portland Trail Blazers,DAL,POR,,102,101,H,203,2.61,1.57,2.62,1.56,1.74,2.15
2019,10,Feb,2018/2019,Milwaukee Bucks,Orlando Magic,MIL,ORL,,83,103,A,186,1.09,5.7,1.13,7.22,1.12,6.5
2019,10,Feb,2018/2019,Houston Rockets,Oklahoma City Thunder,HOU,OKC,,112,117,A,229,1.82,2.12,1.81,2.11,1.8,2.05
2019,10,Feb,2018/2019,Boston Celtics,Los Angeles Clippers,BOS,LAC,,112,123,A,235,1.09,5.5,1.14,6.94,1.11,6.75
2019,10,Feb,2018/2019,Chicago Bulls,Washington Wizards,CHI,WAS,,125,134,A,259,1.99,1.64,2.2,1.75,2,1.83
2019,10,Feb,2018/2019,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP,,99,90,H,189,1.63,2.04,1.7,2.29,1.8,2.05
2019,10,Feb,2018/2019,Atlanta Hawks,Charlotte Hornets,ATL,CHA,,120,129,A,249,2.16,1.66,2.27,1.71,2.2,1.71
2019,10,Feb,2018/2019,New York Knicks,Toronto Raptors,NYK,TOR,,99,104,A,203,7.3,1.14,6.87,1.14,5.25,1.18
2019,10,Feb,2018/2019,Indiana Pacers,Cleveland Cavaliers,IND,CLE,,105,90,H,195,1.03,7.8,1.08,10.44,1.05,11
2019,9,Feb,2018/2019,Utah Jazz,San Antonio Spurs,UTA,SAS,,125,105,H,230,1.32,2.9,1.43,3.06,1.4,3.05
2019,9,Feb,2018/2019,Sacramento Kings,Miami Heat,SAC,MIA,,102,96,H,198,1.58,2.15,1.73,2.24,1.68,2.25
2019,9,Feb,2018/2019,New Orleans Pelicans,Minnesota Timberwolves,NOP,MIN,,122,117,H,239,1.35,2.81,1.4,3.22,1.44,2.85
2019,9,Feb,2018/2019,Phoenix Suns,Golden State Warriors,PHX,GSW,,107,117,A,224,10.4,1.04,11.25,1.07,9,1.07
2019,9,Feb,2018/2019,Dallas Mavericks,Milwaukee Bucks,DAL,MIL,,107,122,A,229,3.76,1.33,3.95,1.3,3.9,1.27
2019,9,Feb,2018/2019,Brooklyn Nets,Chicago Bulls,BKN,CHI,,106,125,A,231,1.19,3.54,1.26,4.34,1.25,4.2
2019,9,Feb,2018/2019,Detroit Pistons,New York Knicks,DET,NYK,,120,103,H,223,1.23,3.46,1.26,4.34,1.26,4
2019,9,Feb,2018/2019,Philadelphia 76ers,Denver Nuggets,PHI,DEN,,117,110,H,227,1.55,2.68,1.54,2.66,1.5,2.7
2019,9,Feb,2018/2019,Washington Wizards,Cleveland Cavaliers,WAS,CLE,,119,106,H,225,1.19,5.2,1.17,5.8,1.16,5.5
2019,8,Feb,2018/2019,Portland Trail Blazers,San Antonio Spurs,POR,SAS,,127,118,H,245,1.44,2.64,1.47,2.89,1.45,2.8
2019,8,Feb,2018/2019,Boston Celtics,Los Angeles Lakers,BOS,LAL,,128,129,A,257,1.32,3.88,1.31,3.83,1.32,3.5
2019,8,Feb,2018/2019,Oklahoma City Thunder,Memphis Grizzlies,OKC,MEM,,117,95,H,212,1.02,7.6,1.07,10.94,1.05,11
2019,8,Feb,2018/2019,Atlanta Hawks,Toronto Raptors,ATL,TOR,,101,119,A,220,3.88,1.2,4.38,1.26,4.25,1.23
2019,8,Feb,2018/2019,Indiana Pacers,Los Angeles Clippers,IND,LAC,,116,92,H,208,1.39,2.8,1.45,2.97,1.44,2.85
2019,8,Feb,2018/2019,Orlando Magic,Minnesota Timberwolves,ORL,MIN,,122,112,H,234,1.73,2.01,1.77,2.18,1.71,2.2
2019,7,Feb,2018/2019,Golden State Warriors,San Antonio Spurs,GSW,SAS,,141,102,H,243,1.06,13.5,1.14,6.69,1.13,6.25
2019,7,Feb,2018/2019,Sacramento Kings,Houston Rockets,SAC,HOU,,101,127,A,228,2.21,1.57,2.16,1.78,2.1,1.76
2019,7,Feb,2018/2019,Utah Jazz,Phoenix Suns,UTA,PHX,,116,88,H,204,1.04,7.4,1.07,10.71,1.05,11
2019,7,Feb,2018/2019,Dallas Mavericks,Charlotte Hornets,DAL,CHA,,99,93,H,192,1.47,2.96,1.53,2.71,1.45,2.8
2019,7,Feb,2018/2019,Chicago Bulls,New Orleans Pelicans,CHI,NOP,,120,125,A,245,1.88,2.04,1.95,1.95,1.83,2
2019,7,Feb,2018/2019,Milwaukee Bucks,Washington Wizards,MIL,WAS,,148,129,H,277,1.1,5.7,1.13,7.22,1.11,6.75
2019,7,Feb,2018/2019,Brooklyn Nets,Denver Nuggets,BKN,DEN,,135,130,H,265,2.02,1.65,2.2,1.75,2.1,1.76
2019,6,Feb,2018/2019,Portland Trail Blazers,Miami Heat,POR,MIA,,108,118,A,226,1.25,3.28,1.34,3.59,1.32,3.45
2019,6,Feb,2018/2019,Memphis Grizzlies,Minnesota Timberwolves,MEM,MIN,,108,106,H,214,1.92,2.01,1.91,2,1.95,1.86
2019,6,Feb,2018/2019,Oklahoma City Thunder,Orlando Magic,OKC,ORL,,132,122,H,254,1.17,4.3,1.21,5.11,1.2,4.75
2019,6,Feb,2018/2019,Philadelphia 76ers,Toronto Raptors,PHI,TOR,,107,119,A,226,1.46,2.48,1.53,2.71,1.52,2.67
2019,6,Feb,2018/2019,New York Knicks,Detroit Pistons,NYK,DET,,92,105,A,197,2.27,1.59,2.36,1.67,2.45,1.6
2019,6,Feb,2018/2019,Charlotte Hornets,Los Angeles Clippers,CHA,LAC,,115,117,A,232,1.57,2.07,1.63,2.44,1.76,2.1
2019,6,Feb,2018/2019,Cleveland Cavaliers,Boston Celtics,CLE,BOS,,96,103,A,199,7.4,1.07,8.07,1.11,8,1.09
2019,6,Feb,2018/2019,Indiana Pacers,Los Angeles Lakers,IND,LAL,,136,94,H,230,2.19,1.53,2.37,1.66,2.35,1.64
2019,5,Feb,2018/2019,Sacramento Kings,San Antonio Spurs,SAC,SAS,,127,112,H,239,2.01,1.74,2.04,1.87,2.05,1.8
2019,5,Feb,2018/2019,Phoenix Suns,Houston Rockets,PHX,HOU,,110,118,A,228,3.48,1.23,4.01,1.29,4,1.26
2019,5,Feb,2018/2019,New Orleans Pelicans,Indiana Pacers,NOP,IND,,107,109,A,216,1.99,1.83,2.04,1.87,1.95,1.86
2019,5,Feb,2018/2019,Brooklyn Nets,Milwaukee Bucks,BKN,MIL,,94,113,A,207,3.16,1.33,3.48,1.36,3.4,1.33
2019,5,Feb,2018/2019,Detroit Pistons,Denver Nuggets,DET,DEN,,129,103,H,232,2.38,1.48,2.51,1.6,2.5,1.58
2019,5,Feb,2018/2019,Washington Wizards,Atlanta Hawks,WAS,ATL,,129,137,A,266,1.38,2.75,1.42,3.14,1.4,3.05
2019,3,Feb,2018/2019,Toronto Raptors,Los Angeles Clippers,TOR,LAC,,121,103,H,224,1.18,5.9,1.2,5.23,1.19,5
2019,3,Feb,2018/2019,Boston Celtics,Oklahoma City Thunder,BOS,OKC,,134,129,H,263,1.55,2.26,1.68,2.34,1.66,2.3
2019,3,Feb,2018/2019,New York Knicks,Memphis Grizzlies,NYK,MEM,,84,96,A,180,1.89,2.07,2,1.9,2.25,1.68
2019,3,Feb,2018/2019,Sacramento Kings,Philadelphia 76ers,SAC,PHI,,115,108,H,223,2.42,1.66,2.43,1.63,2.4,1.62
2019,3,Feb,2018/2019,Minnesota Timberwolves,Denver Nuggets,MIN,DEN,,106,107,A,213,2.02,1.83,1.95,1.95,1.95,1.86
2019,3,Feb,2018/2019,Phoenix Suns,Atlanta Hawks,PHX,ATL,,112,118,A,230,1.66,2,1.75,2.21,1.71,2.2
2019,3,Feb,2018/2019,Utah Jazz,Houston Rockets,UTA,HOU,,98,125,A,223,1.32,3.06,1.37,3.39,1.35,3.3
2019,3,Feb,2018/2019,Golden State Warriors,Los Angeles Lakers,GSW,LAL,,115,101,H,216,1.15,4.45,1.2,5.19,1.18,5.25
2019,3,Feb,2018/2019,San Antonio Spurs,New Orleans Pelicans,SAS,NOP,,113,108,H,221,1.13,4.8,1.2,5.15,1.16,5.5
2019,3,Feb,2018/2019,Cleveland Cavaliers,Dallas Mavericks,CLE,DAL,,98,111,A,209,3.26,1.35,3.22,1.4,4.5,1.22
2019,3,Feb,2018/2019,Miami Heat,Indiana Pacers,MIA,IND,,88,95,A,183,1.57,2.25,1.67,2.35,1.66,2.3
2019,3,Feb,2018/2019,Charlotte Hornets,Chicago Bulls,CHA,CHI,,125,118,H,243,1.35,2.88,1.38,3.35,1.38,3.15
2019,3,Feb,2018/2019,Orlando Magic,Brooklyn Nets,ORL,BKN,,102,89,H,191,1.8,2,1.8,2.13,1.76,2.1
2019,3,Feb,2018/2019,Washington Wizards,Milwaukee Bucks,WAS,MIL,,115,131,A,246,2.79,1.34,3.19,1.41,3.15,1.38
2019,2,Feb,2018/2019,Detroit Pistons,Los Angeles Clippers,DET,LAC,,101,111,A,212,1.86,2.02,1.91,2,1.83,2
2019,2,Feb,2018/2019,Denver Nuggets,Houston Rockets,DEN,HOU,,136,122,H,258,1.53,2.51,1.54,2.66,1.54,2.65
2019,2,Feb,2018/2019,Utah Jazz,Atlanta Hawks,UTA,ATL,,128,112,H,240,1.14,5.5,1.14,6.78,1.12,6.5
2019,2,Feb,2018/2019,Miami Heat,Oklahoma City Thunder,MIA,OKC,,102,118,A,220,2.82,1.51,2.75,1.51,2.3,1.66
2019,2,Feb,2018/2019,New York Knicks,Boston Celtics,NYK,BOS,,99,113,A,212,6.8,1.06,9.61,1.09,10,1.06
2019,2,Feb,2018/2019,Charlotte Hornets,Memphis Grizzlies,CHA,MEM,,100,92,H,192,1.31,2.92,1.54,2.66,1.43,2.9
2019,1,Feb,2018/2019,Golden State Warriors,Philadelphia 76ers,GSW,PHI,,104,113,A,217,1.19,4.4,1.25,4.44,1.2,4.75
2019,1,Feb,2018/2019,Los Angeles Clippers,Los Angeles Lakers,LAC,LAL,112,120,123,A,243,1.46,2.98,1.46,2.95,1.43,2.9
2019,1,Feb,2018/2019,San Antonio Spurs,Brooklyn Nets,SAS,BKN,,117,114,H,231,1.26,3.52,1.34,3.59,1.32,3.5
2019,1,Feb,2018/2019,Toronto Raptors,Milwaukee Bucks,TOR,MIL,,92,105,A,197,1.65,2.1,1.78,2.17,1.71,2.2
2019,1,Feb,2018/2019,Detroit Pistons,Dallas Mavericks,DET,DAL,,93,89,H,182,1.66,1.96,1.72,2.26,1.74,2.15
2019,1,Feb,2018/2019,Orlando Magic,Indiana Pacers,ORL,IND,,107,100,H,207,1.62,2.22,1.8,2.13,1.74,2.15
2019,31,Jan,2018/2019,Portland Trail Blazers,Utah Jazz,POR,UTA,,132,105,H,237,1.76,1.96,1.91,2,1.86,1.95
2019,31,Jan,2018/2019,Sacramento Kings,Atlanta Hawks,SAC,ATL,,135,113,H,248,1.35,2.72,1.47,2.93,1.44,2.85
2019,31,Jan,2018/2019,Minnesota Timberwolves,Memphis Grizzlies,MIN,MEM,93,99,97,H,196,1.37,2.76,1.46,2.95,1.36,3.25
2019,31,Jan,2018/2019,New Orleans Pelicans,Denver Nuggets,NOP,DEN,,99,105,A,204,1.33,1.26,3.83,1.31,3.75,1.28
2019,31,Jan,2018/2019,Washington Wizards,Indiana Pacers,WAS,IND,,107,89,H,196,1.88,1.78,1.91,2,1.95,1.86
2019,31,Jan,2018/2019,Boston Celtics,Charlotte Hornets,BOS,CHA,,126,94,H,220,1.34,3.64,1.34,3.6,1.28,3.75
2019,31,Jan,2018/2019,Miami Heat,Chicago Bulls,MIA,CHI,,89,105,A,194,1.14,5.1,1.17,5.8,1.15,5.75
2019,31,Jan,2018/2019,New York Knicks,Dallas Mavericks,NYK,DAL,,90,114,A,204,2.83,1.37,3.06,1.43,3,1.41
2019,30,Jan,2018/2019,Los Angeles Lakers,Philadelphia 76ers,LAL,PHI,,105,121,A,226,3.72,1.34,3.48,1.36,3.4,1.33
2019,30,Jan,2018/2019,San Antonio Spurs,Phoenix Suns,SAS,PHX,,126,124,H,250,1.1,9.6,1.09,9.24,1.12,6.5
2019,30,Jan,2018/2019,Houston Rockets,New Orleans Pelicans,HOU,NOP,,116,121,A,237,1.19,5.1,1.21,5.12,1.2,4.75
2019,30,Jan,2018/2019,Brooklyn Nets,Chicago Bulls,BKN,CHI,,122,117,H,239,1.29,3.08,1.36,3.44,1.34,3.35
2019,30,Jan,2018/2019,Cleveland Cavaliers,Washington Wizards,CLE,WAS,,116,113,H,229,3.06,1.31,3.11,1.42,3.1,1.4
2019,30,Jan,2018/2019,Detroit Pistons,Milwaukee Bucks,DET,MIL,,105,115,A,220,2.97,1.32,3.22,1.4,3.15,1.38
2019,30,Jan,2018/2019,Orlando Magic,Oklahoma City Thunder,ORL,OKC,,117,126,A,243,2.74,1.41,2.95,1.46,2.85,1.44
2019,29,Jan,2018/2019,Los Angeles Clippers,Atlanta Hawks,LAC,ATL,,118,123,A,241,1.41,3.22,1.41,3.18,1.23,4.25
2019,29,Jan,2018/2019,Memphis Grizzlies,Denver Nuggets,MEM,DEN,,92,95,A,187,2.7,1.37,2.77,1.51,2.7,1.5
2019,29,Jan,2018/2019,Boston Celtics,Brooklyn Nets,BOS,BKN,,112,104,H,216,1.16,4.55,1.19,5.42,1.18,5.25
2019,29,Jan,2018/2019,Charlotte Hornets,New York Knicks,CHA,NYK,,101,92,H,193,1.12,8,1.13,7.38,1.11,7
2019,29,Jan,2018/2019,Indiana Pacers,Golden State Warriors,IND,GSW,,100,132,A,232,4,1.24,3.85,1.31,3.8,1.27
2019,28,Jan,2018/2019,Los Angeles Lakers,Phoenix Suns,LAL,PHX,,116,102,H,218,1.35,2.9,1.39,3.28,1.26,4
2019,28,Jan,2018/2019,New York Knicks,Miami Heat,NYK,MIA,,97,106,A,203,2.65,1.42,2.96,1.46,2.9,1.43
2019,28,Jan,2018/2019,Dallas Mavericks,Toronto Raptors,DAL,TOR,,120,123,A,243,2.4,1.52,2.43,1.63,2.45,1.6
2019,28,Jan,2018/2019,Houston Rockets,Orlando Magic,HOU,ORL,,103,98,H,201,1.21,3.36,1.29,4.04,1.22,4.5
2019,28,Jan,2018/2019,Minnesota Timberwolves,Utah Jazz,MIN,UTA,,111,125,A,236,2.64,1.56,2.62,1.56,2.45,1.6
2019,28,Jan,2018/2019,San Antonio Spurs,Washington Wizards,SAS,WAS,,132,119,H,251,1.52,2.78,1.53,2.71,1.33,3.4
2019,27,Jan,2018/2019,Oklahoma City Thunder,Milwaukee Bucks,OKC,MIL,,118,112,H,230,1.89,2.03,1.87,2.04,1.9,1.9
2019,27,Jan,2018/2019,Chicago Bulls,Cleveland Cavaliers,CHI,CLE,,101,104,A,205,1.46,2.53,1.53,2.71,1.57,2.55
2019,27,Jan,2018/2019,Los Angeles Clippers,Sacramento Kings,LAC,SAC,,122,108,H,230,1.46,2.32,1.51,2.77,1.54,2.65
2019,27,Jan,2018/2019,Portland Trail Blazers,Atlanta Hawks,POR,ATL,,120,111,H,231,1.13,5.4,1.18,5.56,1.16,5.5
2019,27,Jan,2018/2019,Denver Nuggets,Philadelphia 76ers,DEN,PHI,,126,110,H,236,1.15,3.92,1.23,4.8,1.22,4.5
2019,27,Jan,2018/2019,Boston Celtics,Golden State Warriors,BOS,GSW,,111,115,A,226,2.03,1.64,2.14,1.79,2.15,1.74
2019,27,Jan,2018/2019,Memphis Grizzlies,Indiana Pacers,MEM,IND,,106,103,H,209,2.28,1.48,2.49,1.61,2.5,1.58
2019,26,Jan,2018/2019,New Orleans Pelicans,San Antonio Spurs,NOP,SAS,,114,126,A,240,2.06,1.87,2.02,1.88,1.83,2
2019,26,Jan,2018/2019,Denver Nuggets,Phoenix Suns,DEN,PHX,,132,95,H,227,1.04,16.5,1.04,15.53,1.06,10
2019,26,Jan,2018/2019,Utah Jazz,Minnesota Timberwolves,UTA,MIN,,106,102,H,208,1.15,6.7,1.18,5.56,1.16,5.5
2019,26,Jan,2018/2019,Dallas Mavericks,Detroit Pistons,DAL,DET,,106,101,H,207,1.52,2.78,1.51,2.78,1.55,2.6
2019,26,Jan,2018/2019,Milwaukee Bucks,Charlotte Hornets,MIL,CHA,,108,99,H,207,1.14,5.9,1.16,6.28,1.14,6
2019,26,Jan,2018/2019,Chicago Bulls,Los Angeles Clippers,CHI,LAC,,101,106,A,207,2.6,1.41,3.11,1.42,3,1.41
2019,26,Jan,2018/2019,Houston Rockets,Toronto Raptors,HOU,TOR,,121,119,H,240,2.01,1.66,2.09,1.83,2.2,1.71
2019,26,Jan,2018/2019,Memphis Grizzlies,Sacramento Kings,MEM,SAC,,96,99,A,195,1.82,1.83,1.93,1.97,1.71,2.2
2019,26,Jan,2018/2019,Brooklyn Nets,New York Knicks,BKN,NYK,,109,99,H,208,1.18,4.95,1.18,5.74,1.16,5.5
2019,26,Jan,2018/2019,Cleveland Cavaliers,Miami Heat,CLE,MIA,,94,100,A,194,3.96,1.26,4.34,1.26,4.25,1.23
2019,26,Jan,2018/2019,Orlando Magic,Washington Wizards,ORL,WAS,,91,95,A,186,1.55,2.48,1.58,2.55,1.57,2.55
2019,25,Jan,2018/2019,Los Angeles Lakers,Minnesota Timberwolves,LAL,MIN,,105,120,A,225,1.94,1.72,2.04,1.87,2,1.83
2019,25,Jan,2018/2019,Phoenix Suns,Portland Trail Blazers,PHX,POR,,106,120,A,226,3.46,1.29,3.56,1.34,3.6,1.31
2019,25,Jan,2018/2019,Oklahoma City Thunder,New Orleans Pelicans,OKC,NOP,,122,116,H,238,1.11,6.8,1.14,6.94,1.11,6.75
2019,25,Jan,2018/2019,Washington Wizards,Golden State Warriors,WAS,GSW,,118,126,A,244,3.98,1.16,4.42,1.25,4.5,1.22
2019,24,Jan,2018/2019,Utah Jazz,Denver Nuggets,UTA,DEN,,114,108,H,222,1.55,2.19,1.65,2.4,1.64,2.35
2019,24,Jan,2018/2019,Chicago Bulls,Atlanta Hawks,CHI,ATL,,101,121,A,222,1.69,1.96,1.8,2.13,1.76,2.1
2019,24,Jan,2018/2019,Memphis Grizzlies,Charlotte Hornets,MEM,CHA,,107,118,A,225,2.06,1.71,1.91,2,1.86,1.95
2019,24,Jan,2018/2019,New Orleans Pelicans,Detroit Pistons,NOP,DET,,94,98,A,192,1.46,2.43,1.56,2.59,1.66,2.3
2019,24,Jan,2018/2019,Philadelphia 76ers,San Antonio Spurs,PHI,SAS,,122,120,H,242,1.48,2.55,1.63,2.44,1.54,2.65
2019,24,Jan,2018/2019,Boston Celtics,Cleveland Cavaliers,BOS,CLE,,123,103,H,226,1.04,13,1.04,15.53,1.03,15.5
2019,24,Jan,2018/2019,Brooklyn Nets,Orlando Magic,BKN,ORL,,114,110,H,224,1.37,3.04,1.39,3.29,1.45,2.8
2019,24,Jan,2018/2019,Miami Heat,Los Angeles Clippers,MIA,LAC,,99,111,A,210,1.43,2.8,1.45,2.99,1.52,2.67
2019,24,Jan,2018/2019,New York Knicks,Houston Rockets,NYK,HOU,,110,114,A,224,3.18,1.28,3.41,1.37,3.4,1.33
2019,24,Jan,2018/2019,Indiana Pacers,Toronto Raptors,IND,TOR,,110,106,H,216,1.56,2.24,1.5,2.8,1.71,2.2
2019,23,Jan,2018/2019,Phoenix Suns,Minnesota Timberwolves,PHX,MIN,,91,118,A,209,2.7,1.39,3.01,1.44,3,1.41
2019,23,Jan,2018/2019,Dallas Mavericks,Los Angeles Clippers,DAL,LAC,,106,98,H,204,1.56,2.3,1.63,2.44,1.55,2.6
2019,23,Jan,2018/2019,Oklahoma City Thunder,Portland Trail Blazers,OKC,POR,,123,114,H,237,1.38,2.69,1.48,2.86,1.45,2.8
2019,23,Jan,2018/2019,Toronto Raptors,Sacramento Kings,TOR,SAC,,120,105,H,225,1.14,5,1.18,5.61,1.16,5.5
2019,22,Jan,2018/2019,Los Angeles Lakers,Golden State Warriors,LAL,GSW,,111,130,A,241,4.85,1.13,5.98,1.17,5.75,1.15
2019,22,Jan,2018/2019,Utah Jazz,Portland Trail Blazers,UTA,POR,,104,109,A,213,1.45,2.52,1.49,2.84,1.47,2.75
2019,22,Jan,2018/2019,Philadelphia 76ers,Houston Rockets,PHI,HOU,,121,93,H,214,1.6,2.25,1.51,2.75,1.5,2.7
2019,21,Jan,2018/2019,Boston Celtics,Miami Heat,BOS,MIA,,107,99,H,206,1.27,3.3,1.33,3.7,1.3,3.65
2019,21,Jan,2018/2019,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP,,85,105,A,190,1.67,2.12,1.61,2.47,1.62,2.4
2019,21,Jan,2018/2019,Brooklyn Nets,Sacramento Kings,BKN,SAC,,123,94,H,217,1.54,2.21,1.64,2.41,1.64,2.35
2019,21,Jan,2018/2019,Atlanta Hawks,Orlando Magic,ATL,ORL,,103,122,A,225,1.89,1.79,1.95,1.95,2,1.83
2019,21,Jan,2018/2019,Milwaukee Bucks,Dallas Mavericks,MIL,DAL,,116,106,H,222,1.11,5.4,1.14,6.82,1.12,6.5
2019,21,Jan,2018/2019,Washington Wizards,Detroit Pistons,WAS,DET,,101,87,H,188,1.47,2.64,1.47,2.89,1.57,2.55
2019,21,Jan,2018/2019,Cleveland Cavaliers,Chicago Bulls,CLE,CHI,,88,104,A,192,1.9,1.81,2.14,1.79,2.1,1.76
2019,21,Jan,2018/2019,New York Knicks,Oklahoma City Thunder,NYK,OKC,,109,127,A,236,3.98,1.19,4.31,1.26,4.5,1.22
2019,21,Jan,2018/2019,Minnesota Timberwolves,Phoenix Suns,MIN,PHX,,116,114,H,230,1.09,5.2,1.18,5.56,1.16,5.5
2019,21,Jan,2018/2019,San Antonio Spurs,Los Angeles Clippers,SAS,LAC,,95,103,A,198,1.2,3.54,1.28,4.11,1.37,3.2
2019,20,Jan,2018/2019,Indiana Pacers,Charlotte Hornets,IND,CHA,,120,95,H,215,1.35,3.6,1.34,3.6,1.32,3.5
2019,20,Jan,2018/2019,Denver Nuggets,Cleveland Cavaliers,DEN,CLE,,124,102,H,226,1.04,18.5,1.05,14.82,1.03,15.5
2019,20,Jan,2018/2019,Houston Rockets,Los Angeles Lakers,HOU,LAL,120,138,134,H,272,1.29,2.98,1.36,3.45,1.33,3.4
2019,20,Jan,2018/2019,Chicago Bulls,Miami Heat,CHI,MIA,,103,117,A,220,2.11,1.65,2.22,1.74,2.2,1.71
2019,20,Jan,2018/2019,Atlanta Hawks,Boston Celtics,ATL,BOS,,105,113,A,218,3.5,1.21,4.34,1.26,4.1,1.25
2019,20,Jan,2018/2019,Toronto Raptors,Memphis Grizzlies,TOR,MEM,,119,90,H,209,1.1,9,1.1,8.7,1.08,8.5
2019,20,Jan,2018/2019,Detroit Pistons,Sacramento Kings,DET,SAC,,101,103,A,204,2.2,1.78,2.01,1.9,2,1.83
2019,20,Jan,2018/2019,Indiana Pacers,Dallas Mavericks,IND,DAL,,111,99,H,210,1.35,2.89,1.4,3.25,1.38,3.15
2019,20,Jan,2018/2019,Orlando Magic,Milwaukee Bucks,ORL,MIL,,108,118,A,226,4,1.25,4.25,1.27,4.25,1.23
2019,19,Jan,2018/2019,Charlotte Hornets,Phoenix Suns,CHA,PHX,,135,115,H,250,1.27,3.1,1.36,3.45,1.34,3.35
2019,19,Jan,2018/2019,Philadelphia 76ers,Oklahoma City Thunder,PHI,OKC,,115,117,A,232,1.7,2,1.74,2.22,1.74,2.15
2019,19,Jan,2018/2019,Los Angeles Clippers,Golden State Warriors,LAC,GSW,,94,112,A,206,2.96,1.33,3.1,1.43,3.05,1.4
2019,19,Jan,2018/2019,Portland Trail Blazers,New Orleans Pelicans,POR,NOP,,128,112,H,240,1.64,2.17,1.69,2.31,1.68,2.25
2019,19,Jan,2018/2019,Utah Jazz,Cleveland Cavaliers,UTA,CLE,,115,99,H,214,1.03,9.8,1.06,12.51,1.05,12.25
2019,19,Jan,2018/2019,Minnesota Timberwolves,San Antonio Spurs,MIN,SAS,,113,116,A,229,1.95,1.99,1.9,2.01,1.86,1.95
2019,19,Jan,2018/2019,Boston Celtics,Memphis Grizzlies,BOS,MEM,,122,116,H,238,1.11,4.65,1.17,5.9,1.15,5.75
2019,19,Jan,2018/2019,Detroit Pistons,Miami Heat,DET,MIA,,98,93,H,191,1.79,2.17,1.74,2.22,1.76,2.1
2019,19,Jan,2018/2019,Orlando Magic,Brooklyn Nets,ORL,BKN,,115,117,A,232,1.83,1.91,2.01,1.9,2,1.83
2019,18,Jan,2018/2019,Oklahoma City Thunder,Los Angeles Lakers,OKC,LAL,122,128,138,A,266,1.16,4.45,1.2,5.23,1.16,5.5
2019,18,Jan,2018/2019,Denver Nuggets,Chicago Bulls,DEN,CHI,,135,105,H,240,1.1,8.4,1.12,7.71,1.1,7.5
2019,18,Jan,2018/2019,Toronto Raptors,Phoenix Suns,TOR,PHX,,111,109,H,220,1.22,3.92,1.23,4.68,1.09,8
2019,18,Jan,2018/2019,Charlotte Hornets,Sacramento Kings,CHA,SAC,,114,95,H,209,1.54,2.2,1.69,2.31,1.64,2.35
2019,18,Jan,2018/2019,Indiana Pacers,Philadelphia 76ers,IND,PHI,,96,120,A,216,1.57,2.2,1.68,2.33,1.66,2.3
2019,17,Jan,2018/2019,Washington Wizards,New York Knicks,WAS,NYK,,101,100,H,201,1.29,3.2,1.36,3.48,1.33,3.4
2019,17,Jan,2018/2019,Golden State Warriors,New Orleans Pelicans,GSW,NOP,,147,140,H,287,1.34,2.99,1.41,3.19,1.4,3.1
2019,17,Jan,2018/2019,Los Angeles Clippers,Utah Jazz,LAC,UTA,,109,129,A,238,1.74,2.12,1.79,2.14,1.76,2.1
2019,17,Jan,2018/2019,Portland Trail Blazers,Cleveland Cavaliers,POR,CLE,,129,112,H,241,1.06,7.2,1.1,8.52,1.09,8
2019,17,Jan,2018/2019,Dallas Mavericks,San Antonio Spurs,DAL,SAS,,101,105,A,206,1.91,1.95,1.91,2,1.86,1.95
2019,17,Jan,2018/2019,Boston Celtics,Toronto Raptors,BOS,TOR,,117,108,H,225,1.74,1.88,1.8,2.13,1.86,1.95
2019,17,Jan,2018/2019,Houston Rockets,Brooklyn Nets,HOU,BKN,131,142,145,A,287,1.5,2.37,1.58,2.55,1.57,2.55
2019,17,Jan,2018/2019,Memphis Grizzlies,Milwaukee Bucks,MEM,MIL,,101,111,A,212,3.12,1.43,3.19,1.41,3,1.41
2019,17,Jan,2018/2019,Detroit Pistons,Orlando Magic,DET,ORL,109,120,115,H,235,1.54,2.18,1.68,2.34,1.6,2.45
2019,16,Jan,2018/2019,Los Angeles Lakers,Chicago Bulls,LAL,CHI,,107,100,H,207,1.28,3,1.38,3.31,1.37,3.2
2019,16,Jan,2018/2019,Denver Nuggets,Golden State Warriors,DEN,GSW,,111,142,A,253,1.97,1.89,2.04,1.87,1.95,1.86
2019,16,Jan,2018/2019,Milwaukee Bucks,Miami Heat,MIL,MIA,,124,86,H,210,1.23,3.66,1.27,4.21,1.28,3.75
2019,16,Jan,2018/2019,Atlanta Hawks,Oklahoma City Thunder,ATL,OKC,,142,126,H,268,3.66,1.2,4.46,1.25,4.5,1.22
